name,team,gamesPlayed,position,goals,assists,points,plusMinus,PIMS,shots,GWGS,PPGS,PPAS,PKGS,PKAS,hits,blockedShots,toig,shifts,production,faceoffs,faceoffsWon,majorPenalties,misconduct,gameMisconduct,boarding,unsportsmanlikeConduct,fights,instigator,minorPenalties,hooking,tripping,roughing,holding,interference,slashing,highSticking,crossCheck,holdingStick,goalieInterference
Nikita Kucherov,TB,82,RW,41,87,128,24,62,246,8,15,33,0,0,44,31,19:58,1765,12:47,3,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,25,9,3,1,1,3,3,3,1,0,0
Connor McDavid,EDM,78,C ,41,75,116,3,20,240,9,9,24,1,1,39,30,22:50,1998,15:21,918,428,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,0,1,0,3,1,0,2,0,0,0
Patrick Kane,CHI,81,RW,44,66,110,2,22,341,7,9,21,0,0,21,18,22:29,1912,16:33,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,3,2,0,2,0,1,3,0,0,0
Leon Draisaitl,EDM,82,C ,50,55,105,2,52,231,5,16,13,3,0,57,26,22:35,2126,17:38,1340,677,N/A,N/A,N/A,N/A,N/A,N/A,N/A,24,4,1,0,0,6,4,5,2,0,0
Brad Marchand,BOS,79,LW,36,64,100,15,96,231,9,10,24,3,4,46,19,19:37,1821,15:30,105,45,2,3,0,0,1,2,1,28,1,2,6,1,2,7,2,2,0,1
Sidney Crosby,PIT,79,C ,35,65,100,18,36,220,3,12,17,0,2,85,43,21:00,2036,16:35,1826,1012,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,5,2,0,0,0,1,0,1,0
Nathan MacKinnon,COL,82,C ,41,58,99,20,34,365,6,12,25,0,0,54,31,22:05,2024,18:17,1183,517,N/A,N/A,N/A,N/A,N/A,N/A,N/A,17,1,4,3,3,1,1,0,1,1,0
Johnny Gaudreau,CGY,82,LW,36,63,99,18,24,245,8,6,21,0,0,12,12,20:04,1923,16:37,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,2,2,1,0,0,4,1,2,0,0
Steven Stamkos,TB,82,C ,45,53,98,4,37,234,6,19,21,2,0,72,40,18:18,1789,15:18,953,506,1,0,0,0,0,1,0,16,5,3,1,1,2,2,0,0,0,0
Aleksander Barkov,FLA,82,C ,35,61,96,-3,8,206,5,13,18,0,1,28,61,22:21,2218,19:05,1939,1041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4,1,2,0,1,0,0,0,0,0,0
Mitch Marner,TOR,82,C ,26,68,94,22,22,233,5,3,18,1,2,29,43,19:49,2066,17:17,11,7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,11,1,5,0,1,0,3,0,0,1,0
Brayden Point,TB,79,C ,41,51,92,27,28,191,7,20,15,0,0,31,43,18:55,1675,16:14,856,435,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,0,1,2,4,1,2,0,0,2,1
Jonathan Huberdeau,FLA,82,C ,30,62,92,-14,40,226,5,11,23,0,0,57,45,18:51,1846,16:48,19,12,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,3,4,1,3,2,0,1,0,0,0
Blake Wheeler,WPG,82,RW,20,71,91,0,60,231,3,2,31,2,1,81,53,20:43,1979,18:39,88,31,2,0,0,0,0,2,0,25,6,9,2,0,1,3,2,0,0,2
Alex Ovechkin,WSH,81,LW,51,38,89,7,40,338,5,18,10,0,0,223,41,20:55,1682,19:02,5,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,0,1,3,1,4,4,2,2,0,0
John Tavares,TOR,82,C ,47,41,88,19,34,286,8,10,9,0,0,59,53,19:05,1969,17:47,1528,832,N/A,N/A,N/A,N/A,N/A,N/A,N/A,16,4,2,1,2,0,5,1,1,0,0
Mikko Rantanen,COL,74,RW,31,56,87,13,54,193,4,16,17,0,0,59,41,20:51,1704,17:43,46,17,N/A,N/A,N/A,N/A,N/A,N/A,N/A,26,1,5,2,4,2,4,4,4,0,0
Artemi Panarin,CBJ,79,LW,28,59,87,14,23,191,8,6,12,0,0,14,17,19:51,1816,18:01,4,1,1,0,0,0,0,1,0,9,4,2,0,2,0,1,0,0,0,0
Claude Giroux,PHI,82,LW,22,63,85,9,24,229,4,2,21,1,0,28,19,21:27,2138,20:42,1164,674,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,2,0,0,0,4,0,1,2,0
Mark Scheifele,WPG,82,C ,38,46,84,8,38,199,6,12,11,0,3,54,54,21:52,1969,21:20,1736,803,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,4,1,3,1,1,2,0,0,0,0
Sebastian Aho,CAR,82,LW,30,53,83,25,26,243,7,3,21,4,1,65,34,20:09,2008,19:54,1204,585,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,4,1,1,0,1,4,2,0,0,0
Brent Burns,SJ,82,D ,16,67,83,13,34,300,6,7,21,1,4,90,105,25:06,2200,24:47,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,1,6,0,0,2,0,2,0,0,0
Sean Monahan,CGY,78,C ,34,48,82,7,12,211,5,12,11,0,0,36,24,19:03,1805,18:07,888,454,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,1,2,0,0,0,0,1,0,0,0
Jack Eichel,BUF,77,C ,28,54,82,-11,26,303,2,8,18,0,0,70,51,20:26,1756,19:11,1270,597,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,0,0,0,1,0,1,3,0,0
Phil Kessel,PIT,82,RW,27,55,82,-19,28,215,10,12,24,0,0,12,18,17:59,1786,17:58,9,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,0,2,2,0,0,6,3,0,0,0
David Pastrnak,BOS,66,LW,38,43,81,6,32,235,4,17,16,0,0,57,25,18:45,1395,15:16,3,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,14,3,0,1,1,3,2,3,0,0,0
Jonathan Toews,CHI,82,C ,35,46,81,2,40,235,5,9,14,1,0,42,44,21:00,2090,21:16,1880,1059,N/A,N/A,N/A,N/A,N/A,N/A,N/A,20,8,2,1,2,0,5,1,0,1,0
Tyler Seguin,DAL,82,C ,33,47,80,17,18,334,8,9,18,0,0,74,47,20:45,2278,21:16,1255,676,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1,3,0,1,0,2,0,0,0,0
Patrice Bergeron,BOS,65,C ,32,47,79,23,30,205,3,9,18,4,3,43,60,18:28,1510,15:11,1389,786,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,2,4,2,1,0,1,2,0,0,0
Elias Lindholm,CGY,81,C ,27,51,78,30,20,182,5,9,17,1,3,82,39,20:02,2062,20:48,937,509,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,2,1,0,0,2,1,2,1,0,0
Matthew Tkachuk,CGY,80,LW,34,43,77,14,62,207,2,11,13,0,0,104,13,17:36,1696,18:17,13,6,2,1,0,0,0,2,0,21,0,5,6,1,0,5,1,0,1,2
Ryan O'Reilly,STL,82,C ,28,49,77,22,12,234,5,6,16,1,2,31,36,20:46,2103,22:06,1910,1086,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,0,4,0,0,0,1,1,0,0,0
Alex DeBrincat,CHI,82,RW,41,35,76,0,15,220,3,13,11,0,0,35,26,17:42,1666,19:05,35,16,1,0,0,0,0,1,0,5,1,1,1,1,1,0,0,0,0,0
Jake Guentzel,PIT,82,C ,40,36,76,13,26,227,4,6,5,1,0,105,47,19:21,2008,20:52,30,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,13,1,4,1,2,3,1,1,0,0,0
Sean Couturier,PHI,80,C ,33,43,76,2,34,223,5,8,9,1,0,40,60,22:08,2143,23:17,1323,755,N/A,N/A,N/A,N/A,N/A,N/A,N/A,12,3,3,0,0,1,1,4,0,0,0
Teuvo Teravainen,CAR,82,LW,21,55,76,30,12,167,1,8,16,1,4,35,23,17:55,1898,19:19,43,18,N/A,N/A,N/A,N/A,N/A,N/A,N/A,6,3,2,0,0,0,1,0,0,0,0
Gabriel Landeskog,COL,73,LW,34,41,75,17,51,243,9,10,17,0,0,120,64,21:09,1711,20:35,694,361,1,0,0,1,0,1,0,21,4,6,0,0,2,2,5,1,0,0
Tomas Hertl,SJ,77,C ,35,39,74,5,18,176,5,11,4,1,1,53,64,19:01,1834,19:47,1183,609,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9,1,1,2,0,0,1,3,0,0,1
Mika Zibanejad,NYR,82,C ,30,44,74,-12,47,236,5,11,12,2,0,134,66,20:34,2084,22:46,1673,831,N/A,N/A,N/A,N/A,N/A,N/A,N/A,15,1,6,0,2,3,0,3,0,0,0
