,Job Title,Location,Date,Link,Job Attributes,Job Description
1,Solutions Architect - Customer Engagement Offering,"Burlington, MA",May  8,https://boston.craigslist.org/nos/sof/d/burlington-solutions-architect-customer/6884377885.html,"
compensation: tbd

employment type: full-time

","

QR Code Link to This Post


Date Job Opened: 5-8-19 

Please Apply Here: https://www.ndt.com/job/solutions-architect-customer-engagement-offering

Are you passionate about Customer Success? 

Is it time for you to take the next step in your career as a highly visible and vital member of a Customer Success team?

Your Next Step Opportunity: 
•	Oversee technical aspects of deployment, integration and configuration of enterprise SaaS offering
•	Validate product configuration options with the customer
•	Work with the customer to map data fields from their systems to our data spec for batch process of data
•	Work with a project manager to document the Technical solution, including specification of all aspects of deployment including data mapping, data integration, single sign on, widgets, APIs, configuration, and new feature specification
•	Perform feature gap analysis between our existing shipping product and customer requirements
•	Understand and document security needs
•	Document and manage technical change requests
•	Participate on weekly calls with core project team, IT team, and business teams
•	Manage open items and issues and work to resolve them

Your Skills/Experience:
•	3-5 years as technical project manager and/or solutions architect for large enterprise deployments, ideally SaaS B2B enterprise applications
•	Knowledge of SQL and understanding of how database tables relate to each other in a business sense
•	Knowledge of system integration - Data (required), SSO, Widgets, APIs
•	Experience working with multiple disciplines, both internally and externally – clients, engineering and product management teams.
•	Excellent attention to detail and skills with Word, Excel, Powerpoint, MS Project, Google docs, Google Sheets
•	Experience with Splunk, JIRA a plus
•	Professional and credible resource for customers 
•	Foundation in Computer Science or similar and/or related technical work experience 
•	Minimal travel 

Reference # 8411 - Risa Kahn, Recruiting Manager

Please Apply Here:  https://www.ndt.com/job/solutions-architect-customer-engagement-offering

New Dimensions in Technology (NDT)
Technical and Tech/Business Recruiting Since 1979    "
2,Electronic Operations Specialist,Medford,May  8,https://boston.craigslist.org/gbs/sof/d/chestnut-hill-electronic-operations/6884343053.html,"
compensation: Commensurate with Experience.

employment type: full-time

","

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com. 

Currently, we are searching for an enthusiastic individual to join the Century team. 
 
Job overview:

Perform various balancing, reconciliation and processing duties in the Electronic Operations Department. Position involves assisting with the processing and support for operational functions with ATM card and terminal activity, Mobile services, Remote Deposit, ACH services, scanning, exception processing and maintenance review.





Responsibilities:




Monitors and/or ensures compliance with Federal and State laws and regulations; including but not limited to the Bank Secrecy Act and Anti Money Laundering, in addition to, Bank operation policies and procedures.
Provide quality Customer Service and assistance to customers and internal customers with a timely resolution.
Process operational functions within a timely and accurate manner.
Perform reconcilements with accuracy, relaying any variances to management.
Attend internal/external training sessions as required.
Compile monthly reports for statistical purposes.
Communicate job related information and problems to Manager/Supervisor.
Assist in special projects as needed.
Other duties as assigned.



Qualifications:


High School or equivalence required. 1-3 years of prior related experience required. Working knowledge of computer applications.
Individual must possess customer service skills, be detail oriented and have an understanding of banking practices."
3,Senior Business Systems Analyst,Boston,May  7,https://boston.craigslist.org/gbs/sof/d/boston-senior-business-systems-analyst/6883753487.html,N/A,"

QR Code Link to This Post


Senior Business Systems Analyst (Business Intelligence)One of the most established and well respected private equity firms in the country is looking for a Business Systems Analyst to join their team. This is an amazing opportunity to join an established organization, a collaborative team and to be able to continue to develop your skills. YOUR CAREER GOALS:You want to work within a company and team that are established and know what they?re doing. You want a place where you can add immediate value but also are able to learn from your peers and grow your skillset. You want to work for a company that has an amazing reputation for taking care of their employees and being a great place to work.ABOUT YOU:You are an experienced BSA and have the ability to easily communicate with cross functional teams. You?re self-motivated and don?t mind a fast paced environment where you have deadlines within an Agile environment. You have knowledge or experience in supporting & implementing applications, and can wear a few hats if necessary.YOUR SKILLS:Must haves:SQLExperience with BI tools (ideally Tableau)Plusses:Any Python or R scriptingExperience with Salesforce or other CRM systemsExperience managing software release cyclesExperience within the finance space (private equity, venture capital etc)IN EXCHANGE FOR YOUR HARD WORK:Generous compensation (base salary, bonus and profit sharing)Excellent health/dental coverage with low premiumsTuition ReimbursementFree fitness facilityAnd so much more!Find Us on Facebook!Follow Us on Twitter!Beacon Hill is an Equal Opportunity Employer that values the strength diversity brings to the workplace. Individuals with Disabilities and Protected Veterans are encouraged to apply.Company Profile:Beacon Hill Technologies, a premier National Information Technology Staffing Group, provides world class technology talent across all industries on a contract, direct (permanent), contract-to-direct and project basis.  Beacon Hill Technologies' dedicated team of recruiting and staffing experts consistently delivers quality IT professionals to solve our customers' technical and business needs. Beacon Hill Technologies covers a broad spectrum of IT positions, including Project Management and Business Analysis, Programming/Development, Database, Infrastructure, Quality Assurance, Production/Support and ERP roles.Learn more about Beacon Hill Staffing Group and our specialty divisions, Beacon Hill Associates, Beacon Hill Financial, Beacon Hill HR, Beacon Hill Legal, Beacon Hill Pharma and Beacon Hill Technologies by visiting www.beaconhillstaffing.com. We look forward to working with you.Beacon Hill. Employing the Future?
"
4,IT Systems Intern,Peabody,May  7,https://boston.craigslist.org/nos/sof/d/peabody-it-systems-intern/6883655896.html,"
compensation: Competitive compensation offered.

employment type: full-time

internship

","

QR Code Link to This Post


Support projects related to information technology systems to support the company including: hardware (web-servers, database servers, firewalls), software (MS-SQL, Windows Server, PHP), applications deployments (iOS, Andriod apps) and cloud services (clouds servers, file shares, backup management).  This job is supported by the IT manager and outside programmers, consultants and experts within each technology area to deploy best-practices and cost-effective solutions.  Technical writing and documentation is part of the job to ensure good code management and revision control.

Requirements:
• 1+ years of college with focus or experience in technology systems or programming.
• Experiences with SQL, MS Server, and PHP are a plus, but not required.  
•  Experience with Sophos firewalls is a plus, but not required.
• Strong communication skills and clear, concise documentation skills.  
• Ability to build good relationships with peers, cross-functional teams, and vendors.
• Good critical thinking and problem solving skills. 
• Energized by an entrepreneurial environment – not afraid to do things themselves to get things done. 
• Must be hands-on, self-motivated and able to work in teams and individually.

Work Location:
Peabody, MA 

Company Overview:
Dermal Photonics Corporation was started in 2012 by industry veterans to bring high-power laser diodes system to mass-market applications in medical dermatology fields. Company makes high-power diode laser systems with world-class performance for power, efficiency and wavelength. Company recently launched a home laser product into the $20 Billion acne and skin wrinkle market.  Dramatic future growth is expected with expanded career opportunities for all employees. Company environment is technically-focused, entrepreneurial, and fast-paced.
"
5,Information Security Analyst,Medford,May  7,https://boston.craigslist.org/gbs/sof/d/medford-information-security-analyst/6883571127.html,"
compensation: Commensurate with Experience.

employment type: full-time

","

QR Code Link to This Post


Founded locally in 1969 by Marshall M. Sloane, Century Bank is New England's largest family‐run bank with 27 branches throughout Greater Boston. Today Century Bank is the Bank families and businesses rely on -- a place where you can count on getting personal attention. Whether you need a free checking account, easy online banking or a sophisticated financial solution, you'll find it at Century Bank. For more information, visit www.CenturyBank.com.
Currently, we are searching for enthusiastic individuals to join the Century team!  
Job Overview:"
6,Data Science Fellowship,N/A,May  6,https://boston.craigslist.org/gbs/sof/d/boston-data-science-fellowship/6882961036.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSData&utm_campaign=CLBOSData&utm_medium=web "
7,Product Management Fellow,N/A,May  6,https://boston.craigslist.org/gbs/sof/d/boston-product-management-fellow/6882960389.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSProduct&utm_campaign=CLBOSProduct&utm_medium=web "
8,Software Engineering Fellow,N/A,May  6,https://boston.craigslist.org/gbs/sof/d/boston-software-engineering-fellow/6882937735.html,"
compensation: 80,000-160,000

employment type: full-time

telecommuting okay

","

QR Code Link to This Post


What is Pathrise
Pathrise (YC W18) invests in undervalued university students or young professionals by coaching them to get a competitive internship or job. The program is completely free upfront. In exchange, Pathrise fellows agree to pay back a share of their first year's salary if and only if they get hired.

Pathrise is based on insights from hundreds of hiring managers in tech; this means everyone from Google recruiters to startup CEOs. We've been featured in TechCrunch, VentureBeat, EdSurge, and The Atlantic as the ""Y Combinator for your career."" To date, we've worked with over 130 fellows and have helped them land offers at Facebook, Uber, Google, Oath, Amazon, and other top companies or exciting startups.

About the Fellowship
The Pathrise Fellowship is a program for students and new grads that helps you land the best job or internship possible in tech.

During the fellowship, you receive 1-on-1 mentorship from experienced industry engineers, analysts, managers, and recruiters. You learn systems to attract the attention of any company you want, find out insider information on how to ace your interviews, and more. We even directly refer you to companies in our network until you find a job you love.

Our Mission
We seek to uplift and provide guidance for undervalued students and young professionals in their early career. You can read more about our mission and how it all works on our website: www.pathrise.com.

Qualifications
You are either in university or within 5 years of graduation, and interested in getting the best possible job.
You want to work with an experienced advisor who can give you expert advice whether you need to learn about data structures or UI/UX patterns.
You are eager to start your career with a job or internship at a top tech company or a rapidly growing startup.
You want a team of advisors who will be by your side throughout the entire process, whenever you need, as long as you need.

Please apply here: https://www.pathrise.com/?utm_source=CLBOSSWE&utm_campaign=CLBOSSWE&utm_medium=web "
9,Apprentice Entrepreneur,"Cambridge, MA",May  3,https://boston.craigslist.org/gbs/sof/d/cambridge-apprentice-entrepreneur/6880819840.html,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Apprentice Entrepreneur

If you are passionate about entrepreneurship, always wanted to start your own company but don’t know how or haven’t had your brilliant idea yet, this is the job posting for you.  We are looking employee #1 for a startup looking to disrupt the real estate industry.  As an apprentice entrepreneur, you will be mentored and work closely with a successful entrepreneur who is a Harvard grad, started four companies, raised over $30M+ of VC funding, and expert at software development, sales, and marketing.
This position is not the typical corporate ladder type job.  It is NOT a stepping stone to graduate school or another job.  If you are not sure what you want to do with your life and want a good ""learning"" experience, then this is NOT the position for you.  We want super ambitious people preferably from humble backgrounds who want to rule the world.
Requirements:
- Recent graduate who has excelled in life (went to a top-tier school, did something unique and amazing, etc…)
- Attention to detail to the point of being annal.  What was spelled wrong here?  Did that bother you?
- Can’t stand being part of the machine... you want to build the machine.
- Hungry to succeed and willing to go all-in to make it happen!
- Genius software developer who wants to learn the business side.  However, if you are smart, we are willing to teach you how to code as well (we’ve done this successfully with others).  By the end of this experience, you will be able to Amazon, Yelp, Zillow, etc… from scratch
- Willing to work for $40k for the first year, scale to $100k+ within 12-18 months, and hopefully become a millionaire.  If the business doesn’t get to that level, there will be opportunities to work on another business idea or join the entrepreneur’s current successful company
The ideal candidate must be an entrepreneur at heart and have had dreams of running their own company since childhood.  You must have the creativity to come up with new ideas, have the technical chops to build it, the business acumen to market it and management skills to build a team to support it.  Most of all you must be a perfectionist and results oriented.
You'll be working hard for sure, but you'll also learn a tremendous amount and get to experience the joys and challenges of working in a fast-paced and highly entrepreneurial internet company.  If you consider yourself in the top %1 of entrepreneurs, then please send your resume and why you think you would be good a fit.

To apply for this position, please send a cover letter and resume to: jobs@massrealty.com

"
10,Junior UX and Visual Designer,Cambridge,May  2,https://boston.craigslist.org/gbs/sof/d/cambridge-junior-ux-and-visual-designer/6879669365.html,"
compensation: TBD

employment type: full-time

","

QR Code Link to This Post


Clinical Research IO (CRIO) is a fast-moving start-up company in Kendall Square working to transform the clinical research industry with the latest in cloud and tablet technology.  Even in an age of smart-phones, most clinical research today is hand-written on paper and stored in clunky binders. Our system allows doctors and study coordinators to enter that same information into an interactive, easy-to-use tablet application.  
We’re looking for a creative Junior UX designer to help support and drive our mission-critical initiatives! Work with a friendly and dynamic team in a fast-paced start up environment. After a hard day’s work, join us for rock climbing, dinner & drinks, or karaoke near our offices in Kendal Square!

Required Skills & Experience
•	Have the mindset of a UX Designer
•	Experience with UX Design: wireframing, theming, prototyping, etc.
•	Experience with UI Design: branding, layouts, mockups, etc.
•	Articulate in communicating complex ideas and concepts
•	Ability to work well with development team and other designers
•	Insatiable appetite to consume latest trends in Mobile and Web experiences

Desired Skills & Experience
•	Experience prototyping in Axure
•	Product design through storyboarding and concept sketches
•	Proficient with Adobe Creative Suite
•	Working knowledge of HTML, CSS and JavaScript

You will receive the following benefits:
•	Medical Insurance
•	Vision
•	Flexible spending accounts
•	Employee assistance program
•	Free lunches most days of the week
•	Monthly team events
•	Fun office environment
•	Paid vacation
•	Paid company holidays

To apply for this position, please send a cover letter and resume to: jobs@clinicalresearch.io    "
